Perm,CUSIP,SIC,ISSUER_NAME,SHARES,PRICE,OFFER_SIZE,ISSUE_DATE,ANNOUNCEMENT_DATE,PERIOD
60062,14601510,5311,CARSON PIRIE SCOTT & CO,500000,19.125,9.563,1981-06-26,1981-05-29,28.0
60062,14601510,5311,CARSON PIRIE SCOTT & CO,700000,40.0,28.0,1983-09-22,1983-06-06,108.0
40352,14622710,5311,CARTER HAWLEY HALE STRS,2250000,21.5,48.375,1983-06-01,1983-05-20,12.0
40352,14622710,5311,CARTER HAWLEY HALE STRS,3000000,8.125,24.375,1989-12-07,1989-10-23,45.0
75215,14754D10,5932,CASH AMERICA INVESTMENTS,1500000,16.0,24.0,1988-06-22,1988-05-11,42.0
59686,12480010,6711,CBI INDUSTRIES INC,3250000,25.5,82.875,1984-10-05,1984-09-19,16.0
20730,12484510,4832,CBS INC,1500000,58.5,87.75,1982-12-21,1982-12-14,7.0
22438,12487810,6411,CCC INFORMATION SVCS INC,1500000,10.0,15.0,1987-05-27,1987-04-30,27.0
20096,12489810,6711,CCNB CORP,350000,17.5,6.125,1986-11-18,1986-10-21,28.0
20096,12489810,6711,CCNB CORP,550000,18.0,9.9,1988-09-21,1988-08-30,22.0
20125,12501010,3663,C-COR ELECTRONICS INC,450000,33.75,15.188,1982-11-18,1982-11-04,14.0
45655,12507110,3269,CDI CORP,250000,25.375,6.344,1988-09-15,1988-08-12,34.0
21873,15103310,6411,CELINA FINANCIAL CORP,500000,11.0,5.5,1978-10-04,,
10528,15090910,4812,CELLULAR COMMUNICATIONS,2250000,35.75,80.438,1989-05-08,1989-04-03,35.0
10439,15116310,4812,CELLULAR INC,1000000,9.5,9.5,1988-06-24,1988-05-26,29.0
53831,15231210,1531,CENTEX CORP,1500000,43.0,64.5,1980-12-04,1980-11-26,8.0
22016,15234210,2835,CENTOCOR INC,1000000,22.5,22.5,1985-12-13,1985-12-10,3.0
22016,15234210,2835,CENTOCOR INC,1000000,36.0,36.0,1986-04-24,1986-04-21,3.0
11716,15236210,6022,CENTRAL & SOUTHERN HLDG,500000,8.5,4.25,1989-04-13,1989-02-13,59.0
86482,15358510,6035,CENTRAL HOLDING CO,1000000,7.5,7.5,1987-04-15,1986-12-05,131.0
22155,15475810,6712,CENTRAL PACIFIC CORP,500000,22.75,11.375,1981-10-06,1981-09-16,20.0
60599,15668610,4811,CENTURY TELEPHONE ENT,950000,9.0,8.55,1980-08-20,1980-08-06,14.0
60599,15668610,4811,CENTURY TELEPHONE ENT,2000000,7.5,15.0,1982-05-20,1982-05-11,9.0
21397,15852510,2435,CHAMPION INTERNATL CORP,4000000,23.625,94.5,1976-05-11,,
61727,15862710,2253,CHAMPION PRODUCTS INC,350000,21.875,7.656,1980-11-06,1980-09-23,44.0
22729,15986110,200,CHARLES RIVER BREEDING,300000,33.75,10.125,1980-12-10,1980-10-31,40.0
22860,16190110,5812,CHART HOUSE INC,1300000,23.0,29.9,1982-10-28,1982-10-21,7.0
52652,16124110,8062,CHARTER MEDICAL CORP,750000,27.125,20.344,1982-05-20,1982-05-07,13.0
22825,13809810,5086,CHARVOZ-CARSEN CORP,550000,7.125,3.919,1984-03-20,1984-01-19,61.0
22913,16278010,3555,CHECK TECHNOLOGY CORP,500000,10.75,5.375,1983-05-26,1983-04-04,52.0
22921,16282510,3669,CHECKPOINT SYSTEMS INC,500000,8.75,4.375,1981-02-03,,
64194,16359610,2841,CHEMED CORP,4500000,19.25,86.625,1982-03-04,1982-02-11,21.0
28505,16533910,2834,CHESEBROUGH-POND'S INC,5000000,40.5,202.5,1986-02-25,1986-02-19,6.0
63108,12613710,4011,CHICAGO & N WESTN TRANS,2000000,38.875,77.75,1983-09-09,1983-08-15,25.0
58384,16866410,1382,CHIEFTAIN DEVELOPMENT,600000,26.375,15.825,1979-09-18,1979-08-15,34.0
23289,16876310,8300,CHILDRENS WORLD INC,450000,6.25,2.813,1980-11-20,1980-09-25,56.0
23318,17004010,2835,CHIRON CORP,1750000,13.75,24.063,1986-02-18,1986-01-14,35.0
23318,17004010,2835,CHIRON CORP,1900000,20.0,38.0,1989-06-15,1989-05-03,43.0
23326,17022810,6711,CHITTENDEN CORP,250000,14.0,3.5,1979-09-20,1979-08-09,42.0
23326,17022810,6711,CHITTENDEN CORP,525000,38.0,19.95,1986-03-07,1986-01-31,35.0
23334,17039410,3060,CHOMERICS INC,250000,27.5,6.875,1979-09-27,1979-09-07,20.0
59192,17123210,6711,CHUBB CORP,2000000,43.625,87.25,1984-08-14,1984-08-08,6.0
64186,12550910,6711,CIGNA CORP,5000000,62.0,310.0,1986-05-21,1986-04-18,33.0
23529,17252810,3572,CIPHER DATA PRODUCTS INC,1000000,42.75,42.75,1983-05-24,1983-05-12,12.0
23553,17257210,6723,CIRCLE INCOME SHARES,900000,14.875,13.388,1975-11-20,,
18446,18139610,3537,CLARK EQUIPMENT CO,1650000,29.75,49.088,1983-02-15,1983-02-09,6.0
27422,18589610,1011,CLEVELAND-CLIFFS INC,4000000,17.0,68.0,1987-09-23,1987-08-03,51.0
